railroad	11 126
crossing	15 61
teacher	95 135
miss	816 98
mary	182 227
load	48 24
certainly	159 25
line	313 842
mrs	456 70
shelby	11 21
mr	1586 219
nelson	37 86
quite	351 86
accident	121 72
judging	13 7
wash	62 4
sewing	13 13
machine	125 106
hiring	8 17
tannery	1 0
reading	80 114
paper	135 147
pay	427 139
leather	25 17
expensive	35 56
anybody	337 6
unless	156 36
admit	114 7
besides	106 24
government	151 949
dollar	42 30
dollars	198 37
receipt	8 6
thank	1811 9
bits	11 20
tobacco	12 9
counted	11 15
become	217 459
therefore	48 168
proportion	4 29
product	14 135
divided	12 124
extreme	26 62
equal	29 68
proportional	1 27
figures	27 91
exactly	362 35
called	527 888
similar	23 378
distance	37 144
circle	23 80
circumference	4 4
drawn	11 81
centre	12 309
deteminated	1 0
diameter	9 49
radius	4 27
drawing	28 47
measuring	1 17
several	52 986
circles	14 20
dividing	2 11
seventh	12 106
blackboard	2 1
class	148 646
demonstration	12 31
theorem	1 26
seats	31 103
draw	56 110
brother	443 291
remain	58 117
whip	28 3
whipping	4 3
drop	174 61
jam	13 17
floor	167 123
whipped	14 0
spoil	20 3
sassing	1 0
thou	24 12
shalt	10 6
gods	89 35
graven	1 1
memory	68 75
lord	270 303
thy	38 17
vain	9 10
sabbath	6 4
holy	150 84
honour	38 70
upon	74 321
thee	42 10
commit	36 23
adultery	3 3
steal	86 24
bear	132 51
false	33 51
witness	48 38
covet	1 0
neighbor	25 18
commandments	4 6
learned	103 66
sunday	92 74
rich	144 132
bigger	102 29
carriage	15 21
ride	178 66
owned	22 220
daylight	11 14
grey	38 75
hair	205 128
creak	3 0
amount	35 154
sent	192 305
grocery	7 17
wheeler	9 12
spoke	61 52
bill	157 184
worry	443 11
howard	47 63
bundle	8 5
sowing	1 0
early	177 1102
missing	126 83
slept	53 2
hour	218 95
ironing	3 2
artist	52 240
nonsense	57 4
gadgets	4 3
reach	100 102
sentimental	13 5
concerned	54 61
ibe	1 2
star	133 235
bethlehem	2 7
crying	105 8
engaged	48 83
glasses	61 11
modest	5 17
congratulations	118 1
tremendous	19 8
surprise	137 29
everybody	524 24
wish	326 45
mighty	48 18
intend	38 6
probably	400 157
spring	106 164
account	69 126
lined	10 27
yet	550 175
deliver	42 43
happiest	9 9
describe	26 46
pride	41 33
happiness	47 13
whatever	384 31
rob	37 38
greatest	86 135
consolation	5 5
seeks	5 24
weary	7 1
travelers	3 3
seeking	10 52
shelter	18 20
inn	8 45
bids	3 7
welcome	291 33
gun	275 107
ben	233 108
hubby	1 0
adams	37 36
potter	47 26
known	226 1319
attention	176 110
behave	46 6
folks	98 1
winner	49 208
state	196 1565
uses	21 209
nifty	13 1
judgement	3 11
bows	4 3
needs	222 86
